u,observed_q,epsilon_floor,residue
-0.33999999999999986,1.0000016965101468,1.0,1.3400016965101467
-0.31999999999999984,1.0000020041873583,1.0,1.3200020041873581
-0.2999999999999998,1.000002367664019,1.0,1.3000023676640189
-0.2799999999999998,1.0000027970595389,1.0,1.2800027970595387
-0.2599999999999998,1.0000033043284275,1.0,1.2600033043284273
-0.2400000000000002,1.0000039035930481,1.0,1.2400039035930484
-0.2200000000000002,1.000004611536692,1.0,1.2200046115366923
-0.20000000000000018,1.0000054478679061,1.0,1.2000054478679063
-0.18000000000000016,1.000006435868984,1.0,1.1800064358689841
-0.16000000000000014,1.0000076030438643,1.0,1.1600076030438644
-0.14000000000000012,1.0000089818834355,1.0,1.1400089818834356
-0.1200000000000001,1.0000106107695068,1.0,1.120010610769507
-0.10000000000000009,1.00001253504254,1.0,1.10001253504254
-0.08000000000000007,1.000014808262767,1.0,1.080014808262767
-0.06000000000000005,1.000017493699668,1.0,1.060017493699668
-0.040000000000000036,1.0000206660910826,1.0,1.0400206660910827
-0.020000000000000018,1.0000244137206555,1.0,1.0200244137206556
0.0,1.0000288408710767,1.0,1.0000288408710767
0.020000000000000018,1.0000340707208855,1.0,0.9800340707208854
0.040000000000000036,1.0000402487647475,1.0,0.9600402487647475
0.06000000000000005,1.0000475468513916,1.0,0.9400475468513916
0.08000000000000007,1.0000561679501863,1.0,0.9200561679501862
0.10000000000000009,1.0000663517770434,1.0,0.9000663517770433
0.1200000000000001,1.0000783814334717,1.0,0.8800783814334716
0.14000000000000012,1.0000925912396956,1.0,0.8600925912396955
0.16000000000000014,1.0001093759744528,1.0,0.8401093759744527
0.18000000000000016,1.0001292017710945,1.0,0.8201292017710944
0.20000000000000018,1.0001526189627208,1.0,0.8001526189627206
0.2200000000000002,1.0001802772191706,1.0,0.7801802772191704
0.2400000000000002,1.0002129433766735,1.0,0.7602129433766733
0.2599999999999998,1.0002515224278554,1.0,0.7402515224278556
0.2799999999999998,1.0002970822165276,1.0,0.7202970822165278
0.2999999999999998,1.0003508824692309,1.0,0.700350882469231
0.31999999999999984,1.0004144088945728,1.0,0.6804144088945729
0.33999999999999986,1.0004894131924684,1.0,0.6604894131924686
0.3599999999999999,1.0005779599383615,1.0,0.6405779599383616
0.3799999999999999,1.0006824814414532,1.0,0.6206824814414533
0.3999999999999999,1.0008058418186943,1.0,0.6008058418186943
0.41999999999999993,1.0009514116737113,1.0,0.5809514116737113
0.43999999999999995,1.0011231549151796,1.0,0.5611231549151796
0.45999999999999996,1.0013257293818312,1.0,0.5413257293818312
0.48,1.0015646030455752,1.0,0.5215646030455752
0.5,1.0018461876173228,1.0,0.5018461876173228
0.52,1.0021779913501372,1.0,0.48217799135013717
0.54,1.002568792677535,1.0,0.46256879267753503
0.56,1.0030288359828348,1.0,0.4430288359828347
0.5800000000000001,1.0035700501927145,1.0,0.42357005019271443
0.6000000000000001,1.0042062899295356,1.0,0.40420628992953556
0.6200000000000001,1.0049535975277688,1.0,0.3849535975277687
0.6400000000000001,1.005830482188849,1.0,0.36583048218884895
0.6600000000000001,1.0068582097776033,1.0,0.3468582097776032
0.6800000000000002,1.0080610931251774,1.0,0.3280610931251773
0.7000000000000002,1.009466768115106,1.0,0.30946676811510576
0.7200000000000002,1.0111064353018884,1.0,0.2911064353018882
0.7400000000000002,1.013015040520937,1.0,0.27301504052093684
0.7599999999999998,1.0152313613251567,1.0,0.2552313613251569
0.7799999999999998,1.017797959908614,1.0,0.2377979599086142
0.7999999999999998,1.0207609586663007,1.0,0.22076095866630085
0.8199999999999998,1.0241695933579302,1.0,0.2041695933579304
0.8399999999999999,1.0280755030093058,1.0,0.18807550300930598
0.8599999999999999,1.0325317272664716,1.0,0.1725317272664717
0.8799999999999999,1.0375914025021866,1.0,0.15759140250218673
0.8999999999999999,1.0433061779121044,1.0,0.14330617791210454
0.9199999999999999,1.0497244104222485,1.0,0.12972441042224858
0.94,1.0568892381016128,1.0,0.11688923810161289
0.96,1.0648366689627289,1.0,0.10483666896272892
0.98,1.0735938469719564,1.0,0.09359384697195638
1.0,1.0831776616671935,1.0,0.08317766166719354
1.0199999999999996,1.0935938469719562,1.0,0.07359384697195659
1.04,1.1048366689627291,1.0,0.0648366689627291
1.0599999999999996,1.1168892381016127,1.0,0.05688923810161306
1.08,1.1297244104222486,1.0,0.04972441042224851
1.0999999999999996,1.143306177912104,1.0,0.04330617791210445
1.12,1.1575914025021867,1.0,0.03759140250218662
1.1399999999999997,1.1725317272664715,1.0,0.0325317272664718
1.1600000000000001,1.188075503009306,1.0,0.028075503009305836
1.1799999999999997,1.2041695933579302,1.0,0.024169593357930452
1.2000000000000002,1.2207609586663009,1.0,0.020760958666300677
1.2199999999999998,1.2377979599086137,1.0,0.01779795990861399
1.2400000000000002,1.255231361325157,1.0,0.015231361325156678
